price_id,regime,method,changed_fraction,delta_ERRF_contribution,delta_capacity_contribution,delta_exceedance_contribution,delta_covered_contribution,delta_width_contribution
R10,ramp,WIDTH_ONLY,0.87674289671237438,0.62281948286214495,-0.46949485168588223,1.0923143345480271,-0.16011163076637849,-0.1318805763162591
R10,ramp,WIDTH_SAME_SCREEN,0.60449473058463243,0.35903976301667423,-0.25474559400167096,0.61378535701834525,-0.089528342281496448,-0.0715577511240649
R20,ordinary,FIX_REFERENCE_PRICE,0.48982240170203123,0.10031921452851759,-0.075303249424752777,0.17562246395327036,-0.019792363382306617,-0.021152598153020438
R20,ordinary,GLOBAL_SCORE_SAME_SCREEN,0.48790329950943168,-0.033203936322451902,0.088213919025826412,-0.12141785534827829,0.011850263766130208,0.024779190737591692
R20,ordinary,NO_BACKOFF_EXACT,0.095911057805291952,0.016285675913623572,-0.00038684461583186002,0.016672520529455431,-0.0012387120332965069,-0.00010866421793029749
R20,ordinary,NO_G,0.31107815534764033,-0.018510931692070048,0.0018224838310810635,-0.020333415523151117,0.0017544787210933544,0.00051193366041602851
R20,ordinary,NO_RWG,0.42815535839580637,-0.056769625341149085,0.022756495259581584,-0.079526120600730665,0.0065382708303448724,0.0063922739493206702
R20,ordinary,NO_SCREEN,0.084510707917773348,0.0087741254765327098,-0.012095959329470716,0.020870084806003428,-0.0020947797158280411,-0.0033977413846827858
R20,ordinary,WIDTH_ONLY,0.84083389911812367,0.93221947703832997,-0.31017928327909094,1.24239876031742,-0.12024431575474112,-0.087129012157048033
R20,ordinary,WIDTH_SAME_SCREEN,0.64371588818460235,0.70030804046497475,-0.22238304388991992,0.92269108435489389,-0.092978644593206872,-0.062467147160089866
R20,overall,FIX_REFERENCE_PRICE,0.48811725211786633,0.12160947902901538,-0.089183216493460907,0.21079269552247623,-0.024745786154296467,-0.025051465307151938
R20,overall,GLOBAL_SCORE_SAME_SCREEN,0.43174678017286433,-0.019231821594980374,0.071630532326374549,-0.090862353921354888,0.01058864926428205,0.020120936046734421
R20,overall,NO_BACKOFF_EXACT,0.074532903786478921,0.021568364534480692,-0.003866567026095123,0.025434931560575809,-0.0019785077636618013,-0.0010861143331727884
R20,overall,NO_G,0.28223985419486858,-0.017301909533585937,0.0045787656817177641,-0.021880675215303701,0.0019507969411865528,0.0012861701353139784
R20,overall,NO_RWG,0.3960824767745984,-0.036404667565700446,0.0037010852707769701,-0.040105752836477403,0.0026436293116560887,0.0010396306940384759
R20,overall,NO_SCREEN,0.091266413091857193,0.0053926783595436125,-0.011758256593289485,0.017150934952833097,-0.0022069448491004065,-0.0033028810655307537
R20,overall,WIDTH_ONLY,0.85852806135897208,1.3127674921214241,-0.40105846765420622,1.713825959775632,-0.14383699360032054,-0.11265687293657492
R20,overall,WIDTH_SAME_SCREEN,0.62774966713228297,0.81877576880400638,-0.24804432105807356,1.0668200898620808,-0.095379091174263381,-0.069675371083728593
R20,ramp,FIX_REFERENCE_PRICE,0.44423577825640226,0.13801749383399034,-0.098467857485273341,0.23648535131926365,-0.027341602835959274,-0.027659510529571163
R20,ramp,GLOBAL_SCORE_SAME_SCREEN,0.34150770811079634,-0.018561461564467099,0.053008741011706675,-0.071570202576173761,0.0096312886812847005,0.014890095789805245
R20,ramp,NO_BACKOFF_EXACT,0.070016210670155024,0.029467415221208642,-0.0088791372276663325,0.038346552448874978,-0.0030359058634575652,-0.0024941396706927911
R20,ramp,NO_G,0.24158477697904809,-0.018871373278999952,0.0087132960932264723,-0.027584669372226429,0.0024770124395461141,0.0024475550823669862
R20,ramp,NO_RWG,0.37927607328866914,-0.026380982569346595,-0.020460025987059656,-0.0059209565822869372,-0.0016298204076728284,-0.005747198310971811
R20,ramp,NO_SCREEN,0.11493124484054289,0.0043500458872271237,-0.013293265860391965,0.017643311747619086,-0.0025685643009051109,-0.0037340634439303267
R20,ramp,WIDTH_ONLY,0.88943248483065851,1.7491732993158133,-0.50875357103335206,2.2579268703491655,-0.16979065980627411,-0.14290830647004277
R20,ramp,WIDTH_SAME_SCREEN,0.58185674949824329,0.92095800797644201,-0.26485152459327121,1.1858095325697133,-0.090620140481919062,-0.074396495672267221
