zone_or_farm,predictor,horizon_steps,target_coverage,method,coverage,TUWR,width,overall_gap_pp,TUWR_pct
zone1,MLP,1,0.98999999999999999,TSC,0.9900142653352354,0.062113041741561799,0.72078891330692385,0.0014265335235407999,6.2113041741561812
zone1,MLP,1,0.98999999999999999,EEE,0.98735140275796485,0.1125424405831835,0.69423515523392942,-0.26485972420351439,11.254244058318356
zone1,QRLSTM,1,0.10000000000000001,Static,0.103661436043747,0.081785500299580496,0.025145832031382501,0.36614360437470228,8.1785500299580569
zone1,QRLSTM,1,0.10000000000000001,ACI,0.23071802187351401,0,0.057012478005146902,13.071802187351404,0
zone1,QRLSTM,1,0.10000000000000001,AgACI,0.28007608178792198,0,0.070913827681169897,18.007608178792204,0
zone1,QRLSTM,1,0.10000000000000001,EnbPI-RH,0.11488349976224441,0.019672458558018701,0.027389593966508901,1.4883499762244401,1.9672458558018773
zone1,QRLSTM,1,0.10000000000000001,TSC,0.20485021398002851,0,0.049913223105684003,10.485021398002852,0
zone1,QRLSTM,1,0.10000000000000001,EEE,0.17727056585829759,0,0.045115432921051503,7.7270565858297662,0
zone1,QRLSTM,1,0.20000000000000001,Static,0.1935330480266286,0.10185739964050319,0.0516465155108057,-0.64669519733713821,10.185739964050327
zone1,QRLSTM,1,0.20000000000000001,ACI,0.3473133618640038,0,0.093698614975168598,14.731336186400378,0
zone1,QRLSTM,1,0.20000000000000001,AgACI,0.39771754636233952,0,0.1098206900629045,19.77175463623395,0
zone1,QRLSTM,1,0.20000000000000001,EnbPI-RH,0.21378982406086541,0.051527860994607502,0.055562622423323202,1.378982406086543,5.1527860994607551
zone1,QRLSTM,1,0.20000000000000001,TSC,0.32097004279600572,0,0.084687649055998099,12.09700427960057,0
zone1,QRLSTM,1,0.20000000000000001,EEE,0.28311935330480259,0,0.077682110743049204,8.3119353304802619,0
zone1,QRLSTM,1,0.29999999999999988,Static,0.30870185449358062,0.1130417415618134,0.084322154573274105,0.87018544935806286,11.304174156181348
zone1,QRLSTM,1,0.29999999999999988,ACI,0.4631478839752734,0,0.13020633991072719,16.314788397527341,0
zone1,QRLSTM,1,0.29999999999999988,AgACI,0.50556348074179736,0,0.1479031978159856,20.556348074179748,0
zone1,QRLSTM,1,0.29999999999999988,EnbPI-RH,0.32211126961483588,0.065608148591971199,0.087729463525173995,2.2111269614835951,6.5608148591971238
zone1,QRLSTM,1,0.29999999999999988,TSC,0.43975273418925342,0,0.1213346651777325,13.975273418925344,0
zone1,QRLSTM,1,0.29999999999999988,EEE,0.39809795530194952,0,0.1125402889562902,9.8097955301949593,0
zone1,QRLSTM,1,0.40000000000000002,Static,0.39752734189253441,0.1170361493908528,0.111884516676371,-0.24726581074655521,11.703614939085281
zone1,QRLSTM,1,0.40000000000000002,ACI,0.55729909652876841,0,0.16262426029835519,15.729909652876838,0
zone1,QRLSTM,1,0.40000000000000002,AgACI,0.59077508321445538,0,0.1827186466587834,19.077508321445546,0
zone1,QRLSTM,1,0.40000000000000002,EnbPI-RH,0.42196861626248211,0.048332334731375999,0.1171197860931612,2.1968616262482143,4.8332334731376072
zone1,QRLSTM,1,0.40000000000000002,TSC,0.53647170708511638,0,0.1537735936915077,13.647170708511648,0
zone1,QRLSTM,1,0.40000000000000002,EEE,0.4926295767950547,0,0.1435868024316663,9.2629576795054707,0
